chunk;timestamp;value
0;5472144955744;0.0001233
0;5472145027424;0.000124025
0;5472145099104;0.000124755
0;5472145170784;0.000125491
0;5472145242464;0.000126234
0;5472145314144;0.000126982
0;5472145385824;0.000127736
0;5472145457504;0.000128495
0;5472145529184;0.000129261
0;5472145600864;0.000130033
0;5472145672544;0.000130812
0;5472145744224;0.000131596
0;5472145815904;0.000132387
0;5472145887584;0.000133184
0;5472145959264;0.000133987
0;5472146030944;0.000134797
0;5472146102624;0.000135613
0;5472146174304;0.000136437
0;5472146245984;0.000137266
0;5472146317664;0.000138103
0;5472146389344;0.000138946
0;5472146461024;0.000139796
0;5472146532704;0.000140653
0;5472146604384;0.000141517
0;5472146676064;0.000142388
0;5472146747744;0.000143267
0;5472146819424;0.000144152
0;5472146891104;0.000145045
0;5472146962784;0.000145945
0;5472147034464;0.000146853
0;5472147106144;0.000147768
0;5472147177824;0.000148691
0;5472147249504;0.000149622
0;5472147321184;0.00015056
0;5472147392864;0.000151506
0;5472147464544;0.000152461
0;5472147536224;0.000153423
0;5472147607904;0.000154393
0;5472147679584;0.000155371
0;5472147751264;0.000156358
0;5472147822944;0.000157353
0;5472147894624;0.000158357
0;5472147966304;0.000159369
0;5472148037984;0.00016039
0;5472148109664;0.000161419
0;5472148181344;0.000162458
0;5472148253024;0.000163505
0;5472148324704;0.000164561
0;5472148396384;0.000165626
0;5472148468064;0.000166701
0;5472148539744;0.000167785
0;5472148611424;0.000168878
0;5472148683104;0.000169981
0;5472148754784;0.000171093
0;5472148826464;0.000172215
0;5472148898144;0.000173347
0;5472148969824;0.000174489
0;5472149041504;0.000175641
0;5472149113184;0.000176803
0;5472149184864;0.000177976
0;5472149256544;0.000179158
0;5472149328224;0.000180352
0;5472149399904;0.000181555
0;5472149471584;0.00018277
0;5472149543264;0.000183995
0;5472149614944;0.000185232
0;5472149686624;0.000186479
0;5472149758304;0.000187738
0;5472149829984;0.000189008
0;5472149901664;0.000190289
0;5472149973344;0.000191583
0;5472150045024;0.000192887
0;5472150116704;0.000194204
0;5472150188384;0.000195533
0;5472150260064;0.000196874
0;5472150331744;0.000198227
0;5472150403424;0.000199592
0;5472150475104;0.00020097
0;5472150546784;0.000202361
0;5472150618464;0.000203765
0;5472150690144;0.000205182
0;5472150761824;0.000206611
0;5472150833504;0.000208054
0;5472150905184;0.000209511
0;5472150976864;0.000210981
0;5472151048544;0.000212465
0;5472151120224;0.000213963
0;5472151191904;0.000215475
0;5472151263584;0.000217001
0;5472151335264;0.000218542
0;5472151406944;0.000220097
0;5472151478624;0.000221667
0;5472151550304;0.000223253
0;5472151621984;0.000224853
0;5472151693664;0.000226468
0;5472151765344;0.000228099
0;5472151837024;0.000229746
0;5472151908704;0.000231408
0;5472151980384;0.000233087
0;5472152052064;0.000234782
0;5472152123744;0.000236493
0;5472152195424;0.000238221
0;5472152267104;0.000239966
0;5472152338784;0.000241728
0;5472152410464;0.000243507
0;5472152482144;0.000245304
0;5472152553824;0.000247118
0;5472152625504;0.000248951
0;5472152697184;0.000250801
0;5472152768864;0.00025267
0;5472152840544;0.000254557
0;5472152912224;0.000256463
0;5472152983904;0.000258389
0;5472153055584;0.000260333
0;5472153127264;0.000262297
0;5472153198944;0.000264281
0;5472153270624;0.000266285
0;5472153342304;0.000268309
0;5472153413984;0.000270354
0;5472153485664;0.00027242
0;5472153557344;0.000274506
0;5472153629024;0.000276614
0;5472153700704;0.000278744
0;5472153772384;0.000280896
0;5472153844064;0.000283069
0;5472153915744;0.000285265
0;5472153987424;0.000287484
0;5472154059104;0.000289726
0;5472154130784;0.000291992
0;5472154202464;0.000294281
0;5472154274144;0.000296593
0;5472154345824;0.000298931
0;5472154417504;0.000301292
0;5472154489184;0.000303679
0;5472154560864;0.000306091
0;5472154632544;0.000308529
0;5472154704224;0.000310992
0;5472154775904;0.000313482
0;5472154847584;0.000315998
0;5472154919264;0.000318541
0;5472154990944;0.000321112
0;5472155062624;0.00032371
0;5472155134304;0.000326337
0;5472155205984;0.000328992
0;5472155277664;0.000331675
0;5472155349344;0.000334388
0;5472155421024;0.000337131
0;5472155492704;0.000339903
0;5472155564384;0.000342706
0;5472155636064;0.00034554
0;5472155707744;0.000348406
0;5472155779424;0.000351303
0;5472155851104;0.000354232
0;5472155922784;0.000357193
0;5472155994464;0.000360188
0;5472156066144;0.000363216
0;5472156137824;0.000366279
0;5472156209504;0.000369376
0;5472156281184;0.000372507
0;5472156352864;0.000375674
0;5472156424544;0.000378878
0;5472156496224;0.000382117
0;5472156567904;0.000385394
0;5472156639584;0.000388708
0;5472156711264;0.00039206
0;5472156782944;0.000395451
0;5472156854624;0.000398881
0;5472156926304;0.000402351
0;5472156997984;0.000405861
0;5472157069664;0.000409412
0;5472157141344;0.000413004
0;5472157213024;0.000416638
0;5472157284704;0.000420316
0;5472157356384;0.000424036
0;5472157428064;0.000427801
0;5472157499744;0.00043161
0;5472157571424;0.000435464
0;5472157643104;0.000439364
0;5472157714784;0.000443312
0;5472157786464;0.000447306
0;5472157858144;0.000451348
0;5472157929824;0.00045544
0;5472158001504;0.00045958
0;5472158073184;0.000463771
0;5472158144864;0.000468013
0;5472158216544;0.000472307
0;5472158288224;0.000476654
0;5472158359904;0.000481054
0;5472158431584;0.000485508
0;5472158503264;0.000490017
0;5472158574944;0.000494582
0;5472158646624;0.000499204
0;5472158718304;0.000503883
0;5472158789984;0.000508622
0;5472158861664;0.000513419
0;5472158933344;0.000518277
0;5472159005024;0.000523197
0;5472159076704;0.000528179
0;5472159148384;0.000533224
