Freqs (Hz),Atten,Atten_err
5.0,30.37232936527127,0.3028569017145808
10.0,29.562460017151068,0.10149713951433452
15.0,28.830214424932194,0.05508133828450389
20.0,27.895574979260317,0.029577983769011724
25.0,27.249368097765768,0.03396966841384183
30.0,26.67658145717911,0.0224840347899472
35.0,26.271645997680082,0.06825014329411244
40.0,25.964435300078577,0.030819966378016997
45.0,25.716883753391727,0.03814551704010126
55.0,25.24533918085376,0.05401980620910959
60.0,24.864601237499897,0.106388536780592
65.0,24.782741022716436,0.047611852311387995
70.0,24.93338069653896,0.04780195624166423
75.0,24.80160859188578,0.18477838305109234
80.0,25.32607250429197,0.05431952927431622
85.0,25.19223747050691,0.1620276950618408
90.0,25.573020466740644,0.10107855619916187
95.0,25.169434854650262,0.08608029127227758
