Field (nT),Atten,Atten_err
0.5007751937984496,33.18902708309383,1.0131092728170425
0.6558139534883721,35.37652768615044,0.3226855580227809
0.8108527131782947,40.494765112414,1.0492388678624658
0.9658914728682171,43.86952350226031,0.4763352260950812
1.1209302325581396,38.07139359757653,0.335283724627016
1.2759689922480622,31.87839251187944,0.28335739970865037
1.4310077519379845,29.34510723467193,0.12436647533111393
1.586046511627907,25.676903010856677,0.22565656462474798
1.7410852713178295,23.896184896798815,0.0871285315706173
1.8961240310077518,21.768230866095706,0.23380041273785598
