Freqs (Hz),Atten,Atten_err
5.0,52.100214938370186,2.949048521470124
10.0,47.78103389637511,0.7673463716052054
15.0,44.48814825625428,0.6439825684540568
20.0,39.81182407583674,0.2817026075487881
25.0,37.110125274207036,0.23637465099646796
30.0,35.18341717445253,0.10995691906541331
35.0,33.84371990435136,0.4184960881606894
40.0,33.09901982578623,0.10798240262731931
45.0,32.894033798759466,0.11705552317431285
55.0,31.93179558392268,0.10082512661133702
60.0,32.327878552647775,0.16169993975899205
65.0,31.70965080155662,0.22709448065638907
70.0,31.640973555658945,0.3265615532582162
75.0,30.534515865238802,0.24852914066749893
80.0,30.445377761964096,0.2184231037423392
85.0,30.277994433173944,0.16903118561110833
90.0,29.89892236371699,0.2327212574911137
95.0,29.965893039396462,0.18934615618757827
